Reg No,NC Type,Noncandidate Committee Name,Chairperson Name,Chair Occupation,Chair Principal Place of Business,Treasurer Name,Treasurer Occupation,Treasurer Principal Place of Business,"Area, Scope, or Jurisdiction",Political Party,Ballot Issue Description,Single Candidate Name,Terminated,Filing Date
NC20476,Ballot Issue,Maui Citizen's Initiative for a Temporary Moratorium on GMO Crop Cultivation,"Spanjaard, Fred ",Media Productions,"Wailea, Hi.","Savitt, Barbara E. ",homemaker/investor,"Haiku, Hi.",Ballot Issue,,Temporary Moratorium on genetically modified crops,,Y,09/04/2014
NC20106,Standard,Maui Contractors Association Political Action Committee,"Cook, Thomas M. ",Vice President,Maui Contractors Association,"Cook, Thomas M. ",Vice President,Maui Contractors Association,Non-Profit,,,,N,07/09/2008
NC20107,Standard,Maui Hotel & Lodging Association,"Paulson, Lisa H. ",Executive Director,"Wailuku, HI","Paulson, Lisa H. ",Executive Director,"Wailuku, HI",Tourism,,,,N,06/17/2008
NC20108,Standard,"Maui Land & Pineapple Co., Inc. State PAC","Haruki, Warren H. ",CEO & Chairman,"Maui Land & Pineapple Co., Inc.","Esaki, Tim T. ",Chief Financial Officer,"Maui Land & Pineapple Co., Inc.",Real Estate,,,,N,06/19/2008
NC20167,Standard,Maui Leadership Fund ,"Kihune, Howard ",real estate,lahaina hi,"Hanzawa, Howard ",real estate,lahaina hi,Other,,,,Y,06/17/2008
NC20428,Standard,"Maui R&T Partners, LLC","Perkins, Steven T. ",Project Coordinator,"Kihei, HI","Perkins, Steven T. ",Project Coordinator,"Kihei, HI",Business / General Commerce,,,,Y,04/15/2014
NC20563,Standard,"Maui Soda & Ice Works, Ltd.","Nobriga, Michael A. ",PRESIDENT & GENERAL MANAGER,"MAUI SODA & ICE WORKS, LTD","Kim, Catherine N. ",VP FREEZER DIVISION,"MAUI SODA & ICE WORKS, LTD",Business / General Commerce,,,,Y,12/15/2014
NC20426,Standard,"Maui Soda & Ice Works, Ltd.","Nobriga, Michael A. ",Chairman,"Maui Soda & Ice Works, Ltd","Kim, Catherine N. ",Treasurer,"Maui Soda & Ice Works, Ltd",Business / General Commerce,,,,Y,04/14/2014
NC20607,Standard,Maui Tropical Plantation,"Atherton, Michael ",,,"Okuda, Patricia C. ",,,,,,,N,
NC20474,Ballot Issue,Maui United,"Ness, Autumn ",self employed,home,"Ness, Autumn ",self employed,home,Ballot Issue,,Voter Initiative: GMO,,Y,09/01/2014
NC20109,Standard,MC Architects PAC ,"Marlette, Steven M. ",Architect,"Honolulu, HI","Yamauchi, Sheri S. ",Office Manager,"Honolulu, HI",Architect / Engineer,,,,Y,08/19/2008
NC20181,Standard,McLarand Vasquez Emsiek & Partners ,"McLarand, Carl ",Architect,Irvine,"Fulwider, Salvatory ",CFO,Irvine,Architect / Engineer,,,,Y,09/10/2008
NC20495,Standard,Mechanical Engineers of Hawaii Corp.,"Cheng, Louis T. ",Engineer,Honolulu,"Cheng, Kyle T. ",Engineer,Honolulu,Architect / Engineer,,,,Y,10/06/2014
NC20501,Standard,"Merchant Horovitz, LLLC","Horovitz, Peter A. ",Attorney,Merchant Horovitz LLLC,"Horovitz, Peter A. ",Attorney,Merchant Horovitz LLLC,Judicial / Legal,,,,N,10/01/2014
NC20346,Standard,Michaels-DJA Partnership ,"Levitt, Michael J. ","Founder, CEO","Marlton, NJ","Purcell, Joseph F. ",Chief Financial Officer,"Marlton, NJ",Construction,,,,Y,07/20/2012
NC20360,Standard,"Microwave, LLC ","Walden, Donna J. ",Real Estate,"Honolulu, Hawaii","Walden, Donna J. ",Real Estate,"Honolulu, Hawaii",Real Estate,,,,Y,08/23/2012
NC20538,Standard,"Mid Pacific Steel, Inc.","Hirata, Irving N. ",PRESIDENT,3169 UALENA STREET,"Sekigawa, Carolyn K. ",OFFICE MANAGER,3169 UALENA STREET,Other,,,,Y,10/16/2014
NC20405,Standard,"Mike, Inc. dba Lucky Touch","Miller, Michael ",Businessman,Same as above,"Miller, Michael ",Businessman,Same as above,Other,,,,N,01/13/2014
NC20595,Standard,"MillerCoors, LLC","Dunbar, Lara ","Regional Director, State Government Affairs",CA,"Dunbar, Lara ","Regional Director, State Government Affairs",CA,Alcohol / Tobacco,,,,N,02/01/2016
NC20110,Standard,"Mitsunaga Construction, Inc. ","Okino, Glenn M. ",President,"Mitsunaga Construction, Inc.","Okino, Glenn M. ",President,"Mitsunaga Construction, Inc.",Construction,,,,Y,06/19/2008
NC20111,Standard,Miyabara Associates LLC ,"Miyabara, Michael T. ",Landscape Architect,"928 Nuuanu Avenue, Honolulu, Hawaii 96817","Miyabara, Michael T. ",Landscape Architect,"928 Nuuanu Avenue, Honolulu, Hawaii 96817",Architect / Engineer,,,,Y,06/18/2008
NC20612,Standard,"Miyake Concrete Accessories, Inc.","Miyake, Tyson K. ",COO,Miyake Concrete,"Miyake, Tyson K. ",COO,Miyake Concrete,Business / General Commerce,,,,N,06/14/2016
NC20529,Standard,"Miyake Concrete Accessories, Inc.","Miyake, Tyson K. ",COO,"Miyake Concrete Accessories, Inc.","Miyake, Tyson K. ",COO ,Maui,Construction,,,,Y,10/10/2014
NC20605,Standard,"Mobilitie, LLC","Johnson, Jennifer ","Director of Government Relations, West Region",California,"Litzler, Kim ",Government Relations,California,Communications / Electronics,,,,N,05/11/2016
NC20216,Standard,Monsanto Company,"Gough, George N. ",Regional Director,St Louis,"Levine, Peggy A. ",State & Local Gov Affairs Specialist,Monsanto Company,Agribusiness,,,,N,09/09/2008
NC20552,Standard,Montage Kapalua Bay,"Kane, Eliza ",Assistant Director of Finance,Montage Kapalua Bay,"Williams, Christine ",Director of Finance,Montage Kapalua Bay,Tourism,,,,Y,11/07/2014
NC20175,Standard,Mortgage Bankers Association of Hawaii ,"Cunningham, Carl ",Mortgage Banker,Honolulu,"Lau, Carole M. ",Banker,Honolulu,Real Estate,,,,Y,06/26/2008
NC20489,Standard,Mountaire Corporation,"Cameron, Ronald M. ",Mountaire Corporation,"Little Rock, AR","Cavin, W. Dabbs ",Mountaire Corporation,"Little Rock, AR",Other,,,,Y,09/29/2014
NC20112,Standard,"Na Hoku, Inc.","Sultan, Edward D. ","President, CEO","Honolulu, HI","Sultan, Edward D. ","VP, Treasurer","Honolulu, HI  ",Business / General Commerce,,,,N,06/17/2008
NC20113,Standard,NASW - Hawaii PACE,"Fischer, Joel ",retired social worker,none,"Bigalke-Bannan, Sonja ",JD Student,William S. Richardson School of Law,Other,,,,N,07/30/2008
NC20462,Independent Expenditure,National Association of Realtors Fund,"Marx, Denise ",Vice President,"Chicago, IL","Pierpoint, John ",Treasurer,"Chicago, IL",Independent Expenditure,,,,N,07/15/2014
NC20497,Standard,Sircus Group,"Alviar, James ",RN,Queen's Medical Center,"Alviar, James ",RN,Queen's Medical Center,Independent Expenditure,,,,Y,10/02/2014
NC20225,Ballot Issue,National Education Association Ballot Measure Fund ,"White, Karen M. ","Director, NEA Campaigns and Elections",National Education Association,"Hasse, Charles E. ",Political Organizer,National Education Association,Ballot Issue,,Constitutional Convention,,Y,09/22/2008
NC20114,Standard,National Federation of Independent Business/Hawaii Save America's Free Enterprise Trust,"Anderson, Marcia ",Flooring,Surface Prep & Coating Tech,"Maloney, Michael W. ",Director - Compliance,National Federation of Independent Business,Business / General Commerce,,,,N,09/09/2008
NC20524,Standard,"National Fire Protection Co., Inc.","Bourg, Rendell K. ",Business Owner,"Honolulu, Hawaii","Bourg, Rendell K. ",Business Owner,"Honolulu, Hawaii",Business / General Commerce,,,,Y,10/10/2014
NC20166,Standard,National Rifle Association Political Victory Fund,"Cox, Chris W. ",Executive Director,The National Rifle Association of America,"Adkins, Mary Rose ",Fiscal Officer,The National Rifle Association of America,Non-Profit,,,,N,07/30/2008
NC20232,Standard,Native Hawaiian Political Action Committee,"Danner, Robin P. ",CEO,"1050 Queen Street, Suire 200 Honolulu, Hi 96814","Hahn, Dale ",Consultant,"2859 Poelua Street Honolulu, Hawaii 96822",Other,,,,N,10/07/2008
NC20249,Standard,Navatek PAC ,"Schmicker, Michael L. ",VP,Navatek Ltd.,"Kao, Martin ",CFO,Navatek Ltd.,Defense,,,,Y,04/29/2009
NC20115,Standard,NCL America / Polynesian Adventure Tours PAC,"Kawamura, Glenn S. ",Vice President Finance & Controller,Polynesian Adventure Tours LLC,"Meehan, Bill R. ","Director , Hawaii Operations",NCL America LLC,Tourism,,,,N,09/09/2008
NC20530,Independent Expenditure,NEA Advocacy Fund,"Calhoun, Adrienne ",Adminsitrative Manager,National Education Association,"Edwards, Michael ",Director and Senior Policy Advisor,National Education Association,Independent Expenditure,,,,N,10/10/2014
NC20475,Standard,NEA Fund for Children and Public Education - Non Federal Itemized Account,"White, Karen ",Director of Campaigns and Elections,National Education Association,"McPherson, Michael ",Chief Financial Officer,National Education Association,Labor Union,,,,N,09/02/2014
NC20290,Standard,NEA Fund for Children and Public Education - Non Federal Itemized Account ,"McNair, Deirdre ",Asst. Treasurer,"National Education Association, Washington, DC","Wilson, John I. ",Executive Director,"National Education Association, Washington, DC",Labor Union,,,,Y,10/15/2010
NC20403,Standard,New World Group,"Yun, Soon J. ",President,"3221 Waialae Ave Honolulu, Hi 96816","Yun, Soon J. ",Treasuer,3221 Waialae Ave ,Business / General Commerce,,,,Y,12/30/2013
NC20550,Standard,"NextEra Energy Transmission, LLC","Smith, Paul G. ",Sr. Director Business Management,"NextEra Energy Transmission, LLC","Smith, Paul G. ",Sr. Director Business Management,"NextEra Energy Transmission, LLC",Energy / Utility,,,,Y,10/27/2014
NC20463,Standard,"NextEra Energy, Inc. Political Action Committee","Conti, Anthony ",PAC Chairman,"Juno Beach, Florida","Tobin, Brian ",PAC Treasurer,"Juno Beach, Florida",Energy / Utility,,,,N,07/16/2014
NC20510,Standard,"Noble Enterprises, Inc.","Noble, Teresita B. ",President,"160 N Market St., Wailuku, HI 96793","Noble, Teresita B. ",President,"Wailuku, Hawaii",Other,,,,Y,10/14/2014
NC20342,Standard,Nokanet ,"Kaui, Norman K. ",Business Developer & Marketing Strategist,Hawaii,"Kaui, Norman K. ",Business Developer & Marketing Strategist,Hawaii,Business / General Commerce,,,,Y,06/27/2012
NC20130,Standard,Parsons Brinckerhoff Inc. PAC,"Connor, Catherine ",Corporate Executive ,Washington DC,"Connor, Catherine ",same,same,Architect / Engineer,,,,N,06/23/2008
NC20466,Standard,Nonfederal Political Educational Fund of the Building and Construction Trades Department,"McGarvey, Sean F. ",President,BCTD,"Booker, Brent D. ",Secretary-Treasurer,BCTD,Labor Union,,,,Y,08/05/2014
NC20116,Standard,Notkin Hawaii Inc. ,"Chan, Keith M. ",President,Hawaii,"Chan, Keith M. ",President,Hawaii,Architect / Engineer,,,,Y,06/30/2008
NC20117,Standard,Oahu League of Republican Women PAC,"Thomas, Carol A. ",None,none,"Monohon, Mary ",Retired,none,Other,,,,N,06/18/2008
NC20465,Independent Expenditure,Ocean Resort Villas North PAC,"Bagatelos, Peter A. ",Attorney,"San Francisco, CA","Bagatelos, Peter A. ",Attorney,"San Francisco, CA",Independent Expenditure,,,,Y,07/25/2014
NC20464,Independent Expenditure,Ocean Resort Villas PAC,"Kraft, Eugenia P. ","VP, Sales & Business Development","San Jose, CA","Kraft, Eugenia P. ","VP, Sales & Business Development","San Jose, CA",Independent Expenditure,,,,Y,07/25/2014
NC20118,Standard,Ocean Tourism Coalition PAC,"Coon, James ",Partner,MAUI,"Howeth, Greg ",President,MAUI,Tourism,,,,N,08/27/2008
NC20204,Standard,Oceanic Time Warner Cable PAC,"Smith, Nathaniel ","President, Oceanic Time Warner Cable","Mililani, Hawaii","Saiki, Russell M. ","Vice-President, Finance, Oceanic Time Warner Cable","Mililani, Hawaii",Communications / Electronics,,,,N,09/09/2008
NC20119,Standard,OE PAC ,"Uchida, Joy ",Finance,"Honolulu, Hawaii","Shishido, Chuck ",Finance,"Honolulu, Hawaii",Other,,,,Y,09/01/2008
NC20270,Standard,Office and Professional Employees International Union-JB Moss Voice of the Electorate,"Mahoney, Mary ",Treasurer,New York,"Mahoney, Mary ",Treasurer,New York,Non-Profit,,,,N,01/31/2011
NC20120,Standard,Ohana Coalition Maui (OCM) ,"deNaie, A. Lucienne ",Retired DOE,"1087A Po'okela Road, Makawao, HI 96768","Dahl, Diana L. ","Music Teacher, Farm Owner",above,Other,,,,Y,09/10/2008
NC20318,Standard,Ohana Matters Inc. (S-Corp) ,"Hales, David S. ",Owner,Ohnan Matters Inc.,"Hales, David S. ",Owner,Ohana Matters Inc.,Other,,,,Y,04/20/2012
NC20624,Standard,OliverMcMillan,"Banuelos, Rhoda ",Executive Assistant,OliverMcMillan,"Banuelos, Rhoda ",Executive Assistant,OliverMcMillan,Business / General Commerce,,,,N,06/29/2016
NC20454,Independent Expenditure,One Ohana Political Action Committee,"Gillham, Grant D. ",Buiness consultant,Nevada,"Gillham, Grant D. ",Business consultant,Nevada,Independent Expenditure,,,,N,07/01/2014
NC20121,Standard,Operating Engineers Local Union 3 Hawaii District 17 PAC,"Burns, Russell ",Business Manager,Operating Engineers Local 3,"Burns, Russell ",Business Manager,Operating Engineers Local 3,Labor Union,,,,N,08/14/2008
NC20122,Standard,Operating Engineers Local Union 3 Statewide PAC,"Burns, Russell ",Business Manager,Operating Engineers Local 3,"Burns, Russell ",Business Manager,Operating Engineers Local 3,Labor Union,,,,N,08/14/2008
NC20541,Standard,OPMC,"Akamine, Kurt S. ",Manager,"Kauai, Hawaii","Akamine, Kurt S. ",Manager,"Kauai, Hawaii",Independent Expenditure,,,,Y,10/27/2014
NC20554,Standard,"ORMAT Nevada, Inc.","Kaleikini, Michael L. ",Power Generation,"Pahoa, Hawaii","Stechman, Connie ",Power Generation,"Reno, Nevada",Energy / Utility,,,,N,12/11/2014
NC20410,Standard,Parsons Corporation Political Action Committee,"Dalvi, Ashay ",Corporate Controller,"Pasadena, CA ","Dalvi, Ashay ",Corporate Controller,"Pasadena, CA ",Architect / Engineer,,,,Y,01/27/2014
NC20320,Standard,Orthopaedic Fellowship Group LLC ,"Zimmerman, Paul ",Co-Chief Executive Officer,Orthopaedic Fellowship Group LLC ,"Matza, Rochelle S. ",Vice President of Cash Management,Orthopaedic Fellowship Group LLC ,Healthcare / Medical,,,,Y,04/17/2012
NC20609,Standard,Outrigger Enterprise Inc. PAC,"Sword, Max J. ",VP Industry Affairs,"Honolulu, HI","Fujita, Shari M. ",VP Accounting,"Honolulu, HI",Tourism,,,,N,06/07/2016
NC20123,Standard,Outrigger Hotels Hawaii Political Action Committee,"Goo, Charlene ",VP Brand Performance,Outrigger Enterprises Group,"Asuncion, Brandon ",Controller,Holiday Inn Resort Waikiki Beachcomber,Other,,,,N,07/15/2008
NC20347,Standard,P&ML Associates ,"O'Donnell, John J. ",Chief Operating Officer,New Jersey,"Langley, Sue ",Executive Assistant,New Jersey,Construction,,,,Y,07/20/2012
NC20453,Standard,P&ML Associates,"O'Donnell, John J. ",President,"Marlton, NJ corporate office","Langley, Sue ",Executive Assistant,"Marlton, NJ",Other,,,,Y,06/17/2014
NC20124,Standard,"P&R Water Taxi, Ltd. ","Pires, Charles B. ",Self Employed,Kewalo Shipyard,"Pires, Charles B. ",Self Employed,Kewalo Shipyard,Other,,,,Y,08/29/2008
NC20598,Standard,PAC Charleys Taxi,"Nishina, Lloyd ",Controller,same as above,"Nishina, Lloyd ",Controller,same as above,Transportation,,,,N,03/21/2016
NC20404,Standard,"Pace-O-Matic, Inc.","Waver, Dwayne A. ",President,Same,"Warren, Daniel N. ",VP Finance,Same,Technology,,,,Y,01/08/2014
NC20615,Standard,Pacific Links US Services,"Anderson, Rudolph J. ",President,"Honolulu, Hawaii","Wright, Lauren R. ",Director of Member Services,"Honolulu, Hawaii",Other,,,,N,06/20/2016
NC20336,Standard,Pacific Resource Partnership PAC,"White, John D. Jr.",Executive Director,"Honolulu, Hawaii","White, John D. Jr.",Executive Director,"Honolulu, Hawaii",Other,,,,Y,06/01/2012
NC20229,Ballot Issue,Pacific Resource Partnership Smart Growth Hui ,"Chock, Kyle ",Executive Director,"Honolulu, Hawaii","Chock, Kyle ",Executive Director,"Honolulu, Hawaii",Ballot Issue,,Rail,,Y,10/08/2008
NC20127,Standard,"Pacific Rim Land, Inc. ","Zapotochy, John ",PRESIDENT - PACIFIC RIM LAND INC.,"WENATCHEE, WA","Reisenauer, Daniel R. ",TREASURER-PACIFIC RIM LAND INC.,"WENATCHEE, WA",Real Estate,,,,Y,07/08/2008
NC20427,Standard,"Pacific Toxicology Laboratories, Inc.","Lanzolatta, Rocco ",CEO,Pacific Toxicology Laboratories,"Patel, Neil ",CFO,Pacific Toxicology Laboratories,Healthcare / Medical,,,,Y,04/15/2014
NC20128,Standard,Painters Local Union 1791 PAC,"Valmoja, Ryden K. ",Business Manager/Secretary-Treasurer,District Council 50 Painters Union Local 1791,"Nishimura, Kurt C. ",Treasurer,Painters Union Local 1791,Labor Union,,,,N,08/07/2008
NC20242,Ballot Issue,Painting Industry of Hawaii Labor Management Cooperation Fund ,"Hayashi, Ronald ",Union Agent,District Council 50,"Fujii, Raymond ",Executive Director,Painting & Decorating Contractors Assoc.,Ballot Issue,,Rail,,Y,10/30/2008
NC20129,Standard,"Paradise Beverages, Inc. ","Usui, Gordon C. ",Controller,"Paradise Beverages, Inc","Usui, Gordon C. ",Controller,"Paradise Beverages, Inc.",Business / General Commerce,,,,Y,07/24/2008
NC20131,Standard,Parsons Corporation Political Action Committee ,"Shockley, Larry G. ",Vice President,Washington DC,"Miller, Mathew M. ",Vice President & Controller,"Pasadena, CA",Other,,,,Y,09/09/2008
NC20132,Standard,Patsy T. Mink PAC,"Saiki, Patsy K. ","Sr. Vice President, First American Title","1177 Kapiolani Blvd,, Honolulu, HI","Anderson, Rachel ",State of Hawaii,"Honolulu, HI",Ideological / Single-Issue,,,,N,08/19/2008
NC20441,Standard,"PC Services, Inc.","Horita, Keith K. ",President CEO ,"92-1098 Aliinui Drive Kapolei, Hi 96707","Kaneshige, Norman M. ","Vice President, General Manager, Vice President","92-1089 Aliinui Drive  Kapolei, Hi 96707",Tourism,,,,Y,04/30/2014
NC20133,Standard,"PepsiCo, Inc. ","Bryant, Daniel J. ",SVP Government Affairs and Public Policy,"PepsiCo Headquarters, Purchase NY","Swink, Philip E. ","Vice President, Government Affairs","PepsiCo Headquarters, Purchase NY",Business / General Commerce,,,,Y,08/15/2008
NC20251,Standard,Pfizer Inc.,"Scarduffa, Marc S. ",Vice President,same as above,"Scarduffa, Marc S. ",Vice President,Same as above,Judicial / Legal,,,,N,07/27/2009
NC20359,Standard,"PhotonWorks Engineering, LLP ","Orem, Paul L. ",Partner,"1188 Bishop Street, Suite 2307, Honolulu, HI 96813","Johnsson, Tim ",Partner,"1188 Bishop Street, Suite 2307, Honolulu, HI 96813",Construction,,,,Y,09/04/2012
NC20402,Standard,"PJY Enterprises, LLC","Yoshimura, Tracy T. ",Self Employed,"95-1062 Ainamakua Drive, Unit C","Yoshimura, Tracy T. ",Self Employed,"95-1062 Ainamakua Drive, Unit C",Business / General Commerce,,,,N,01/03/2014
NC20372,Independent Expenditure,Planned Parenthood of Hawaii Action Network,"Wurtzburg, Susan J. ",Professor,University of Hawaii,"Mackbey, Treasure ",Manager,Planned Parenthood Votes NW & Hawaii,Independent Expenditure,,,,N,10/04/2012
NC20597,Standard,Planned Parenthood Votes Hawaii PAC,"Monk, Amy ",Retired,Not Employed,"Johansen, Morgen ",Professor,"University of Hawaii, Manoa",Healthcare / Medical,,,,N,03/24/2016
NC20134,Standard,Plumbers & Pipefitters Political Action Committee,"Ceria, Valentino ",----,----,"Castanares, Reginald ",----,----,Labor Union,,,,N,06/30/2008
NC20135,Standard,Political Action Fund (IUEC Local 126),"Yamane, Marc K. ",Elevator Constructor Mechanic,Honolulu,"Tomei, Thaddeus ",Business Rep.,Honolulu,Labor Union,,,,N,06/17/2008
NC20523,Standard,Ponoholo Ranch Limited,"White, Sabrina K. ",President,Ponoholo Ranch Limited,"Gottlieb, Alan H. ",Vice President,Ponoholo Ranch Limited,Agribusiness,,,,N,10/08/2014
NC20547,Standard,"Porter McGuire Kiakona & Chow, LLP","Porter, Christian P. ",Partner,"Porter McGuire Kiakona & Chow,","Kimura, Lynn ",Office Manager,"Porter McGuire Kiakona & Chow,",Judicial / Legal,,,,Y,10/23/2014
NC20407,Independent Expenditure,Poverty Free Hawaii,"Cortez-Camero, Tania ",Self-Employed,Kehauakahanu Kreativity,"Cortez-Camero, Tania ",Self- Employed,Kehauakahanu Kreativity,Independent Expenditure,,,,Y,01/27/2014
NC20424,Standard,"Precision Moving and Storage, Inc.","Rodrigues, Michelle ",General Manager,91-544 Awakumoku St,"Rodrigues, Michelle ",General Manager,91-544 Awakumoku St,Other,,,,Y,04/24/2014
NC20325,Standard,Progressive Hawaii Now,"Higgins, John J. ",Unemployed,Honolulu,"Ching, Randy W. ",Retired,Honolulu,Ideological / Single-Issue,,,,Y,04/25/2012
NC20191,Standard,Progressive PAC,"Huxel, Charles J. Jr.",Retired,Home,"Bickel, John W. ",Teacher,'Iolani School,Other,,,,N,08/27/2008
NC20221,Ballot Issue,Pro-Rail Committee of the Hawaii Carpenters Union ,"Hoshijo, Leonard ",Union Representative,"Honolulu, Hawaii","Yoshimura, Lance ",Union Representative,"Honolulu, Hawaii",Ballot Issue,,Rail Transit,,Y,09/11/2008
NC20243,Ballot Issue,Pro-Rail Committee of the Hawaii Laborers' Union ,"Oliver, Alfonso ",Interim Business Manager/President,Honolulu,"Kekauoha, Donna L. ",Secretary-Treasurer,Honolulu,Ballot Issue,,Pro-Rail Transit,,Y,10/31/2008
NC20291,Standard,Protect Our Keiki,"Ryan, Eric S. ",graphic design + advertising,Oahu,"Ryan, Eric S. ",graphic design + advertising,Oahu,Other,,,,N,10/20/2010
NC20126,Standard,PRP PAC ,"McMillan, Cynthia ",Executive Director,"Honolulu, HI","McMillan, Cynthia ",Executive Director,"Honolulu, HI",Other,,,,Y,06/24/2008
NC20324,Standard,Prudential Locations LLC ,"Chee, William S. ",Chief Executive Office,"Kapahulu, HI","Uemura, Kenneth T. ",Executive VP Finance,"Kapahulu, HI",Real Estate,,,,Y,04/17/2012
NC20137,Standard,Puna Geothermal Venture,"Kaleikini, Michael L. ",Plant Manager,Puna Geothermal Venture,"Quesada, Ronald P. ",Maintenance Manager,Puna Geothermal Venture,Energy / Utility,,,,Y,07/08/2008
NC20138,Standard,"PVT Land Company, Ltd. ","Shigemura, Albert ",Businessperson,"Waianae, Hawaii","Fujita, Barry ",Attorney,"Honolulu, Hawaii",Environment / Natural Resource,,,,Y,06/30/2008
NC20504,Standard,"Pyramid Insurance Center, Ltd.","Mitsuyoshi, Mark H. ",Administration,Honolulu,"Mitsuyoshi, Mark H. ",Administration,Honolulu,Insurance,,,,N,10/02/2014
NC20378,Standard,"Quality Care Products, LLC","Holmes, Michael W. ",CEO,Holland OH,"Braker, Joseph ",CFO,"Holland, OH",Healthcare / Medical,,,,Y,10/31/2012
NC20327,Standard,"Quality Care Products, LLC ","Holmes, Michael W. ",CEO,6920 Hall Street Holland OH 43528,"Braker, Joseph ",CFO,6920 Hall Street Holland OH 43528,Healthcare / Medical,,,,Y,04/30/2012
NC20173,Standard,Realtors Political Action Committee of Hawaii,"Oh, Myoung S. ",Government Affairs Director,"1259 A'ala Street, Suite 301","Donahue-Jones, Nancy ",Chief Executive Officer,"1259 A'ala Street, Suite 301",Real Estate,,,,N,06/25/2008
NC20139,Standard,Red Hill Committee ,"De Fries, John ",CEO,Hokuli'a,"Esaki, Tim T. ",Sr. V.P. - Finance & Accounting,Hokuli'a,Real Estate,,,,Y,09/08/2008
NC20140,Standard,Redswan Inc. dba Karbiz Associates,"Swannie, Kathy A. ",Vice President/Treasurer/Director,"Aiea, Hawaii","Swannie, Kathy A. ",Vice President/Treasurer/Director,"Aiea, Hawaii",Business / General Commerce,,,,N,06/23/2008
NC20141,Standard,Referentia Systems Incorporated Political Action Committee ,"Lieberman, Larry ",Management,"Honolulu, HI","Takaezu Harper, Jill R. ",Management,"Honolulu, HI",Technology,,,,Y,09/17/2008
NC20400,Standard,"Reliable Vendors Co., Ltd.","Wong, Bradley A. ","Reliable Vendors Co,, Ltd.","3705 Waialae Avenue #104 Hon, HI 96816","Wong, Lehua S. ","Reliable Vendors Co,, Ltd.","3705 Waialae Avenue #104 Hon, HI 96816",Other,,,,Y,12/04/2013
NC20263,Standard,Republican Governors Association Hawaii 2010 PAC ,"Ayers, James N. ",Executive Director,Republican Governors Association,"Adams, Michael G. ",General Counsel,Republican Governors Association,Other,,,,Y,02/09/2010
NC20235,Standard,Save Our Doctors ,"Rasmussen, Linda ",Physician,Hawaii,"Arcena, Paula A. ",Executive Director,Hawaii,Healthcare / Medical,,,,Y,11/03/2008
NC20373,Standard,Republican State Leadership Committee - Hawaii PAC,"Walter, Matthew C. ",President,Republican State Leadership Committee,"Goede, Staci A. ",CFO/Treasurer,Republican State Leadership Committee,Other,,,,N,10/09/2012
NC20190,Standard,Republican Womens Club of Kauai,"Berg, Patricia J. ",Retired,above address,"Hickling, Robert L. ",Retired Electrical Engineer,N/A,Political Party,Republican,,,N,08/04/2008
NC20330,Standard,"Residential Investments, LLC ","Chupinsky, Kenneth ",Manager,"Las Vegas, Nevada","Chupinsky, Kenneth ",Manager,"Las Vegas, Nevada",Other,,,,Y,05/16/2012
NC20142,Standard,"ResortQuest Hawaii, LLC ","Bloom, Kelvin M. ",Executive ,"ResortQuest Hawaii, LLC","Warren, Ronald W. ",Executive ,"ResortQuest Hawaii, LLC",Tourism,,,,Y,08/19/2008
NC20246,Standard,Reverence Life Educational Institute (RLEI) ,"Gerakas, Andrew J. ",clergyman,"4524 Waikui St., Honolulu, HI 96821","Silva, James A. ",Retired,----,Education,,,,Y,02/23/2009
NC20446,Standard,Reynolds American Inc.,"Hogan, John Joseph Jr.",Sr Dir State Govt Relns       ,RAI Services Company,"Wilson, John S. III",Sr Dir Policy & Advocacy      ,RAI Services Company,Alcohol / Tobacco,,,,N,06/04/2014
NC20468,Standard,RGA Hawaii 2014 PAC,"Cox, Philip J. ",Executive Director,Republican Governors Association,"Adams, Michael G. ",Attorney,Dinsmore & Shohl LLP,Other,,,,Y,08/12/2014
NC20143,Standard,"Robert's Hawaii, Inc. ","Iwamoto, Robert N. Jr.",CEO,"680 Iwilei Road, Suite 700 Honolulu, HI 96817","Iwamoto, Robert N. Jr.",CEO,"680 Iwilei Road, Suite 700 Honolulu, HI 96817",Transportation,,,,Y,09/08/2008
NC20317,Standard,Roeca Luria Hiraoka LLP ,"Roeca, Arthur F. ",Lawyer,"Honolulu, HI","Hiraoka, Keith K. ",Lawyer,"Honolulu, HI",Judicial / Legal,,,,Y,03/30/2012
NC20144,Standard,Roofing Contractors Association of Hawaii PAC,"Maero, Steve ",Chairperson,OAHU,"Beeck, Charlie ",Treasurer,OAHU,Construction,,,,N,08/27/2008
NC20394,Standard,"Royal Hawaiian Orchards, L.P.","Miyata, Jon Y. ",Executive,"688 Kinoole Street, Suite 121, Hilo, HI 96720","Miyata, Jon Y. ",Executive,"688 Kinoole Street, Suite 121, Hilo, HI 96720",Agribusiness,,,,Y,10/15/2013
NC20145,Standard,Royal State Group Noncandidate Committee ,"Sakado, Kyle S. ",Vice President,Honolulu,"Fukeda, Ernest H. ",Vice President,Honolulu,Insurance,,,,Y,09/04/2008
NC20627,Independent Expenditure,S.A.F.E. Sustainable Action Fund for the Environment,"Sheehan, Mark ",Realtor,Home office,"Spanjaard, Fred ",Media production,Home office,Independent Expenditure,,,,N,07/25/2016
NC20512,Standard,"Sae Design, Inc.","Ota, Saedene K. ",Owner,"Sae Design, Inc.","Ota, Saedene K. ",Owner,"Sae Design, Inc.",Other,,,,Y,10/06/2014
